epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.80939,1.46998,3.90605,2.33062,0.00335,1,0.41882,0.30863,0.98874,2.9773,1.74307,0,0,0
2,3.13794,1.19515,3.8683,1.95088,0.00334,1,0.37645,0.26869,0.99301,2.96884,1.74449,1.50197e-05,1.50197e-05,1.50197e-05
3,3.46011,1.24983,3.84623,2.06673,0.00333,1,0.37559,0.26826,0.99807,2.96674,1.74482,2.67387e-05,2.67387e-05,2.67387e-05
4,3.76096,1.30217,3.99666,2.25429,0.00333,1,0.41928,0.26353,1.00114,2.9625,1.74397,3.5157e-05,3.5157e-05,3.5157e-05
5,4.058,1.29165,3.96048,1.99089,0.00334,1,0.37657,0.2501,0.9946,2.96865,1.73388,4.02747e-05,4.02747e-05,4.02747e-05
6,4.32989,1.44531,3.89897,2.26757,0.00334,1,0.41765,0.25476,0.98696,2.97385,1.71552,4.20917e-05,4.20917e-05,4.20917e-05
7,4.61403,1.22281,3.95345,1.90371,0.00334,1,0.37561,0.23396,0.97537,2.98793,1.69819,4.06081e-05,4.06081e-05,4.06081e-05
8,4.97666,1.28042,3.86999,2.26426,0.00335,1,0.42226,0.30093,0.92791,2.99436,1.63683,3.58238e-05,3.58238e-05,3.58238e-05
9,5.36282,1.23254,3.85755,1.91421,0.00336,1,0.37599,0.29974,0.86961,2.97778,1.59839,2.77389e-05,2.77389e-05,2.77389e-05
10,5.75689,1.07534,3.82811,1.84611,0.00337,1,0.37533,0.29961,0.83513,2.9688,1.55345,1.63533e-05,1.63533e-05,1.63533e-05
